36622,mobile,al,alabama,30.69,-88.04,
36690,mobile,al,alabama,30.69,-88.04,
37237,nashville,tn,tennessee,36.16,-86.78,
37245,nashville,tn,tennessee,36.16,-86.78,
37247,nashville,tn,tennessee,36.16,-86.78,
37248,nashville,tn,tennessee,36.16,-86.78,
37249,nashville,tn,tennessee,36.16,-86.78,
37990,knoxville,tn,tennessee,35.86,-84.12,
38110,memphis,tn,tennessee,35.05,-89.94,
38142,memphis,tn,tennessee,35.14,-90.04,
38165,memphis,tn,tennessee,35.14,-90.04,
38227,elbridge,tn,tennessee,36.26,-89.32,
39235,jackson,ms,mississippi,32.29,-90.18,
40386,versailles,ky,kentucky,38.02,-84.74,
40495,winston,ky,kentucky,37.7,-84.08,
40754,nevisdale,ky,kentucky,36.65,-84.11,
40931,eriline,ky,kentucky,37.11,-83.75,
40999,woollum,ky,kentucky,37,-83.8,
41313,bethany,ky,kentucky,37.74,-83.5,
41338,island city,ky,kentucky,37.36,-83.76,
41362,primrose,ky,kentucky,37.6,-83.6,
41433,gapville,ky,kentucky,37.63,-82.95,
41747,hardburly,ky,kentucky,37.24,-83.2,
42283,south union,ky,kentucky,36.87,-86.65,
42287,welchs creek,ky,kentucky,37.31,-86.52,
42375,stanley,ky,kentucky,37.82,-87.24,
42403,blackford,ky,kentucky,37.44,-87.93,
43098,hebron,oh,ohio,39.96,-82.49,
43163,west rushville,oh,ohio,39.76,-82.44,
43196,groveport,oh,ohio,39.86,-82.89,
43198,groveport,oh,ohio,39.86,-82.89,
43265,columbus,oh,ohio,39.96,-82.99,
43299,columbus,oh,ohio,40.03,-82.86,
43307,marion,oh,ohio,40.58,-83.12,
43618,oregon,oh,ohio,41.67,-83.39,
43789,sycamore valley,oh,ohio,39.66,-81.23,
44178,cleveland,oh,ohio,41.49,-81.69,
44185,cleveland,oh,ohio,41.49,-81.67,
44189,cleveland,oh,ohio,41.49,-81.67,
44322,akron,oh,ohio,41.04,-81.58,
44393,akron,oh,ohio,41.06,-81.52,
44399,akron,oh,ohio,41.06,-81.52,
44631,harlem springs,oh,ohio,40.52,-81,
44999,mansfield,oh,ohio,40.76,-82.51,
45110,buford,oh,ohio,39.08,-83.85,
45145,marathon,oh,ohio,39.13,-84.05,
45228,cincinnati,oh,ohio,39.06,-84.42,
45400,dayton,oh,ohio,39.76,-84.19,
45408,dayton,oh,ohio,39.74,-84.22,
45418,dayton,oh,ohio,39.77,-84.19,4119
45427,dayton,oh,ohio,39.75,-84.27,
45463,dayton,oh,ohio,39.75,-84.17,
46604,south bend,in,indiana,41.68,-86.25,
46620,south bend,in,indiana,41.68,-86.25,
47139,little york,in,indiana,38.69,-85.9,
47430,fort ritner,in,indiana,38.77,-86.28,
47490,bloomington,in,indiana,39.09,-86.46,
47614,folsomville,in,indiana,38.14,-87.16,
47727,evansville,in,indiana,38.08,-87.52,
47739,evansville,in,indiana,38.02,-87.57,
47741,evansville,in,indiana,37.97,-87.56,
47744,evansville,in,indiana,37.91,-87.64,
47856,judson,in,indiana,39.81,-87.13,
47864,sullivan,in,indiana,39.11,-87.42,
48559,flint,mi,michigan,43.02,-83.68,
48736,gilford,mi,michigan,43.49,-83.62,
48769,vassar,mi,michigan,43.33,-83.34,
48802,alma,mi,michigan,43.37,-84.65,
48863,howell,mi,michigan,42.63,-83.91,
48950,lansing,mi,michigan,42.7,-84.55,
49069,marshall,mi,michigan,42.27,-84.95,
49121,niles,mi,michigan,41.82,-86.25,
49550,grand rapids,mi,michigan,42.97,-85.67,
49790,eckerman,mi,michigan,46.35,-84.96,
50347,des moines,ia,iowa,41.6,-93.6,
50397,des moines,ia,iowa,41.6,-93.6,
50706,waterloo,ia,iowa,42.4,-92.26,
51344,gruver,ia,iowa,43.39,-94.7,
52319,oakdale,ia,iowa,41.7,-91.6,
52350,viola,ia,iowa,42.03,-91.42,
